genre,Dance,Energy,Loud,Speech,Acoustic,Instrument,Live,Valence,Tempo,Duration
sleep,-3.7776,-2.682,-5.4771,-0.8015,2.2003,3.2444,0.4155,-2.6988,-3.9584,-0.9809
ambient,-1.747,-2.2227,-2.6798,-1.0476,2.0429,2.412,-1.1408,-1.9461,-1.004,0.3099
new-age,-1.6071,-2.0045,-2.2431,-0.9958,1.8895,2.5682,-0.7624,-1.7241,-1.2547,0.859
classical,-1.4691,-2.0876,-2.9439,-0.5286,2.1949,1.8634,-0.9426,-1.0706,-0.7655,1.3653
tango,-1.7869,-2.4355,-2.3693,-0.9166,2.4373,-0.5442,1.5922,-0.6642,-3.3806,1.2647
piano,-0.9826,-1.8044,-2.699,-0.8662,1.6269,1.7266,-0.9892,-0.8751,-0.7635,-0.8312
opera,-2.202,-1.7626,-1.431,-1.0473,2.1048,0.3773,-0.3949,-1.7057,-1.776,-0.0393
guitar,-0.2144,-1.9747,-1.7901,-0.4765,2.1385,3.0265,-1.0171,-0.8045,-0.5484,0.2192
idm,-0.8489,-1.0886,-1.7459,-0.6092,1.3894,2.6879,-1.1192,-1.6887,0.3833,0.3268
jazz,-0.39,-1.9575,-1.5628,-0.6323,1.7011,0.7801,-0.7471,-0.596,-0.8853,0.1223
study,0.9758,-1.4614,-0.9531,0.4625,1.1808,3.2315,-0.4131,-0.2806,-1.7326,-2.1728
disney,-0.8791,-1.4495,-1.1681,-0.067,1.4827,0.2897,-0.1929,-0.3838,-1.0386,-1.5856
german,-0.8766,-0.8028,-1.0466,-0.1904,0.1734,1.3019,-0.2687,-1.1434,-0.8265,0.1453
bluegrass,-0.0491,-1.5969,-0.9138,-0.9622,1.8288,-0.3158,-0.7071,-0.3588,-0.0396,-0.2778
acoustic,-0.1835,-1.4325,-0.4904,-1.046,1.3609,-0.5693,-0.8365,-0.5571,-0.3245,-0.3274
honky-tonk,-0.1154,-1.6485,-0.9354,-1.105,1.7229,-0.7105,-0.6659,1.1772,0.2946,-1.5041
singer-songwriter,-0.0798,-1.1628,-0.3623,-0.6294,1.057,-0.6048,-0.7155,-0.5451,-0.0764,-0.4304
psych-rock,-0.7619,-0.7539,-0.9004,-0.9287,0.1945,-0.0925,0.4019,0.1309,-0.376,0.8421
cantopop,-0.2482,-0.9943,-0.2351,-1.1099,1.1748,-0.6891,-0.6413,-0.6987,0.4479,0.5455
chill,0.8131,-1.159,-0.6221,0.7273,0.9589,0.1084,-0.4688,-0.351,-0.6456,-1.5215
folk,-0.0696,-0.6541,-0.2973,-0.6836,0.8742,-0.4799,-0.666,-0.0874,-0.6799,0.3501
british,-0.4823,-0.6739,-0.44,-0.7991,0.5378,-0.0841,-0.3416,0.0283,-0.2161,-0.3514
show-tunes,-0.5933,-1.055,-0.2988,0.9672,0.8107,-0.6955,-0.2562,-0.4144,-0.5644,-0.3988
rock-n-roll,-0.339,-0.7418,-0.5733,-0.7616,1.1421,-0.5978,0.2353,1.3395,-0.4545,-1.5904
rockabilly,-0.2629,-0.6159,-0.4482,-0.7012,1.3981,-0.5217,-0.0737,1.4773,-0.4035,-1.7396
indian,0.1099,-0.4007,-0.1625,-0.3312,0.8641,-0.5931,-0.3552,-0.0264,-0.7687,0.3265
minimal-techno,1.3325,0.0913,-0.4248,-0.4315,-0.9406,2.7791,-0.9342,-1.3119,0.3338,3.0294
mandopop,-0.1888,-0.6659,0.1318,-1.0812,0.6923,-0.6936,-0.7306,-0.7811,0.3916,0.6947
french,0.7299,-0.2947,-0.2881,0.1477,0.1499,0.435,-0.5883,-0.777,-0.6988,-0.7271
trip-hop,0.5622,-0.1922,-0.3146,-0.2393,-0.3069,1.3981,-0.3891,-0.0852,-0.4558,1.0517
gospel,-1.0127,-0.2466,0.1128,-1.0363,0.2515,-0.7162,0.8176,-1.2314,0.1875,2.5532
grindcore,-2.8511,1.8389,1.0542,0.4561,-1.3113,1.7024,0.1728,-1.2765,-2.3629,0.4878
malay,0.3917,-0.5149,-0.0838,0.1418,0.69,-0.6432,-0.7239,0.0143,-0.1833,0.2752
soul,0.5893,-0.5461,0.0928,0.008,0.2188,-0.5428,-0.4558,-0.2098,-0.8059,-0.298
world-music,-1.1705,-0.3497,0.1833,-1.0396,-0.3794,-0.711,0.7671,-1.3817,0.4438,1.6558
mpb,0.0904,-0.4769,-0.2723,-0.7218,0.8035,-0.6721,1.8567,0.5729,-0.4419,-0.1671
pop-film,0.1842,-0.1963,0.0706,-0.4708,0.5759,-0.6782,-0.5462,0.4302,-0.5398,1.4146
sad,1.1486,-0.8749,-0.4249,1.4823,0.5047,-0.3633,-0.4848,-0.1441,-0.3309,-1.9078
indie-pop,0.2773,-0.4829,-0.0403,-0.1239,0.3873,-0.5299,-0.3119,0.058,-0.0631,-0.7042
blues,-0.4168,-0.13,-0.0814,-0.4754,-0.0597,-0.4264,-0.2703,0.401,-0.3886,0.1422
indie,0.2226,-0.1816,0.1377,-0.2389,0.3199,-0.3808,-0.1855,0.1396,-0.4827,-0.255
