genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
comedy,0.974,-0.3251,0.8434,-5.2086,-1.4672,0.0134,-2.5893,0.4389,0.7208,-0.0791
world-music,0.6515,0.9541,1.9637,-0.0432,-1.4039,-1.4227,0.2079,0.0494,0.8613,0.3571
j-pop,0.4989,1.0652,0.64,0.1656,-0.9176,-0.0343,0.3626,0.7146,0.3101,0.1945
reggaeton,-0.0214,-0.1206,-0.0718,-1.807,-0.4857,0.0005,-0.0254,0.3945,-0.3643,0.2413
ska,0.0131,1.1446,0.4956,0.2071,-0.8199,-0.0199,0.0742,0.8923,0.5056,0.0326
disney,0.0324,0.4901,0.7741,0.0142,-0.4195,-0.8949,0.1381,0.2181,0.129,0.0756
new-age,0.3465,0.4453,0.5954,-0.0317,-0.419,-0.1946,-0.3253,0.1336,0.1058,-0.3908
british,0.2914,0.3315,0.5802,-0.0214,-0.1728,-0.6859,0.1911,0.4779,0.2217,-0.1455
swedish,0.4106,0.6127,0.4229,0.1432,-0.6315,-0.0421,-0.0134,0.1598,0.1246,-0.0424
classical,0.2422,0.4914,0.5154,0.1102,-0.3889,-0.5138,-0.112,-0.2112,0.2826,0.6935
pop-film,0.4496,0.1197,-0.0559,0.0131,-0.8161,0.024,-0.7411,-0.3723,0.2062,0.0094
french,0.3249,0.3112,0.3308,-0.4134,-0.3169,-0.0187,0.0143,-0.3311,0.0149,-0.0265
detroit-techno,-0.046,0.1588,0.3849,0.002,0.0609,-0.5344,-0.0882,0.6826,0.0674,-0.271
show-tunes,0.266,0.2122,0.2826,0.1327,-0.467,-0.1125,-0.2159,0.1026,0.0783,0.0086
j-dance,0.1366,-0.0973,-0.0022,-0.8222,-0.2153,0.2593,-0.0447,0.0179,0.0074,0.0336
r-n-b,0.2317,0.2161,0.0421,-0.1723,-0.3009,0.0054,-0.0454,0.4774,0.0706,0.1223
club,0.0956,0.0218,0.2166,-0.4367,0.0032,-0.2611,-0.1788,-0.0546,-0.1919,0.0164
grindcore,-0.1523,0.1614,0.4065,-0.3784,-0.0254,-0.0933,-0.3734,0.1966,-0.6432,1.0217
garage,0.1031,0.1982,0.1459,-0.333,-0.113,0.5432,-0.4198,0.1378,-0.2659,-0.3735
dub,0.0035,0.1226,0.3556,0.0129,0.0197,-0.3336,-0.1704,-0.0332,0.2028,-0.1
alternative,0.0807,0.2823,0.1014,-0.2081,-0.229,0.0125,-0.0053,-0.0134,0.0053,0.0514
blues,-0.2731,0.2981,0.1468,-0.051,-0.8571,0.1403,-0.0906,-0.6079,0.1417,0.3198
heavy-metal,0.2217,-0.0783,-0.1394,-0.1654,-0.0202,-0.0796,-0.616,0.1994,-0.0053,0.0951
mandopop,0.0831,0.1936,0.2891,0.0132,-0.039,-0.0021,-0.1061,-0.0676,0.2596,0.0614
k-pop,0.1687,-0.0653,0.0971,-0.4106,-0.0472,-0.0971,0.121,0.0652,-0.1071,-0.0782
gospel,0.6032,0.3884,-0.2099,0.0833,-0.2969,0.0001,0.7851,0.3823,0.8392,0.2783
happy,-0.2178,0.0696,0.3109,0.0703,0.0023,-0.5926,-0.1219,0.0046,0.0727,-0.3246
drum-and-bass,-0.226,-0.0209,0.1543,-0.1879,0.0624,-0.7239,-0.1319,-0.1997,-0.0854,-0.5138
death-metal,0.1296,-0.0304,0.1063,-0.1099,0.0237,-0.2294,-0.2259,0.0476,-0.114,0.2184
ambient,-0.0321,0.0529,0.2483,0.0053,0.0223,-0.3158,-0.0612,0.012,0.0095,-0.0152
black-metal,0.1693,0.0489,0.1515,-0.043,-0.0202,-0.0767,-0.2191,-0.0156,-0.2013,-0.0293
dubstep,-0.3324,0.2068,0.1296,-0.0468,-0.0046,-0.1896,0.2458,0.259,0.2969,-0.037
goth,-0.1459,0.0885,0.1489,-0.13,-0.1922,-0.188,-0.1143,-0.3545,-0.0512,0.1343
indian,-0.1073,-0.1927,0.1677,-0.3943,0.4756,-0.4847,0.0622,0.3905,-0.1928,0.1605
industrial,0.1406,-0.1416,0.1918,0.1808,0.0354,-0.3968,-0.1427,0.0897,0.0306,-0.3012
opera,0.092,0.1219,0.0171,-0.0378,-0.1243,0.3184,-0.244,-0.0017,0.033,-0.0439
honky-tonk,-0.0567,-0.127,0.0005,0.0087,0.0058,-0.1825,-0.2077,0.0345,0.2991,0.0455
rock,0.2942,0.1336,0.0002,0.1367,-0.261,-0.0633,0.0759,0.0585,-0.0548,0.0596
techno,-0.2442,-0.0338,0.1433,0.0539,0.0917,-0.4858,-0.0373,0.0496,0.1722,-0.4565
hardstyle,-0.3617,-0.0807,0.0796,-0.2666,-0.0145,-0.1329,-0.0968,-0.0878,-0.0966,-0.1681
spanish,0.0462,-0.1716,-0.0933,-0.0268,-0.2033,-0.0132,-0.2455,-0.1863,0.1633,-0.1246
punk,-0.4134,0.0877,0.1954,-0.0723,0.1041,0.1649,0.1517,0.2393,0.3664,0.1323
metalcore,0.1275,-0.0049,-0.1027,0.0957,0.0383,0.0184,-0.2402,-0.0392,0.4594,0.0935
latin,0.0904,0.024,-0.0012,0.0013,-0.1543,0.0186,-0.0466,-0.0968,-0.0242,-0.007
singer-songwriter,0.4304,-0.06,-0.1514,-0.3395,0.0936,0.0557,0.034,0.0291,-0.3498,0.1455
chicago-house,0.1731,-0.116,0.1188,0.0681,0.0209,-0.7216,0.1469,-0.2659,-0.0971,-0.367
trance,-0.3645,0.0114,-0.0089,-0.2142,-0.0011,-0.0188,-0.1246,-0.1313,-0.0151,-0.5253
synth-pop,0.0858,0.0343,0.1148,0.0309,-0.0291,0.1471,-0.1699,-0.1209,-0.0907,-0.152
samba,-1.0271,1.2132,1.6951,-0.3524,1.2599,0.0008,0.683,-0.4754,-0.6769,0.153
